,Country.of.Origin,Region,Owner.1,Variety,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points
846,Indonesia,lington nihuta,EssenceCoffee,Typica,7.42,7.42,7.42,7.33,7.42,7.42,10,10,10,81.83
847,Malawi,kakoma,AFCA,Gesha,7.58,7.42,7.33,7.33,7.33,7.42,10,10,10,81.83
848,Brazil,south of minas,Ipanema Coffees,Bourbon,7.33,7.58,7.25,7.17,7.83,7.33,10,10,10,81.83
849,Honduras,comayagua,,Caturra,7.5,7.5,7.33,7.33,7.33,7.33,10,10,10,81.83
850,Mexico,"siltepec el triunfo, chiapas, mexico",Kurt Kappeli,Typica,7.42,7.42,7.25,7.5,7.33,7.42,10,10,10,81.83
851,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.5,7.5,7,7.42,7.5,7.58,10,10,10,81.83
852,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.83,7.83,7.83,8,7.83,7.83,10,6.67,10,81.83
853,Brazil,sul de minas,Jacques Pereira Carneiro,Bourbon,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,81.83
854,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10,9.33,81.83
855,Mexico,veracruz,CHRISTINA DUSING,Bourbon,7.83,7.33,7.25,7.58,7.25,7.33,10,10,10,81.83
856,Mexico,coatepec,JORGE FRANCISCO MARTINEZ HACHITY,Typica,7.33,7.33,7.25,7.5,7.5,7.5,10,10,10,81.83
857,Brazil,cerrado,NUCOFFEE,Mundo Novo,7.33,7.67,7.25,7.5,7.5,7.25,10,10,10,81.83
858,Colombia,huila,Exportadora de Cafe Condor S.A,,7.58,7.5,7.17,7.58,7.33,7.33,10,10,10,81.83
859,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,7.25,7.58,7.83,7.67,7.75,7.75,9.33,9.33,10,81.83
860,Guatemala,san marcos,Juan Luis Alvarado Romero,Bourbon,7.5,7.5,7.25,7.42,7.42,7.33,10,10,10,81.75
861,Vietnam,vietnam,"Sunvirtue Co., Ltd.",Caturra,7,7.08,7.33,7.5,7.5,7.33,10,10,10,81.75
862,"Tanzania, United Republic Of",ngorogoro,Ngorogoro Convenant Estate,Other,7.42,7.42,7.42,7.42,7.33,7.33,10,10,10,81.75
863,Brazil,,Cafe Politico,,7.17,7.25,7.17,7.25,7.42,8.25,10,10,10,81.75
864,Mexico,"tenango de doria, hidalgo",SAUL M. HERNANDEZ RAMIREZ,Bourbon,7.5,7.5,7.33,7.42,7.25,7.25,10,10,10,81.75
865,Mexico,tepictla,SERGIO LANDA ALARCON,Mundo Novo,7.42,7.5,7.17,7.67,7.33,7.42,10,10,10,81.75
866,Mexico,oaxaca,DIEGO MANUEL WOOLRICH RAMIREZ,Typica,7.42,7.5,7.33,7.58,7.33,7.33,10,10,10,81.75
867,Mexico,la concordia,ARMANDO LUIS POHLENZ MARTINEZ,Caturra,7.33,7.42,7.33,7.67,7.42,7.25,10,10,10,81.75
868,Mexico,la concordia,Enrique Eduardo Lopez Aguilar,Typica,7.5,7.42,7.25,7.33,7.67,7.25,10,10,10,81.75
869,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.33,7.42,7.33,7.33,7.5,7.67,10,10,10,81.75
870,Colombia,huila,Racafe & Cia S.C.A,,7.42,7.58,6.92,7.08,7.25,8,10,10,10,81.75
871,Brazil,south of minas,Ipanema Coffees,Bourbon,7.42,7.5,7.25,7.5,7.5,7.25,10,10,10,81.67
872,Guatemala,san marcos,Juan Luis Alvarado Romero,Bourbon,7.42,7.42,7.08,7.42,7.33,7.42,10,10,10,81.67
873,Guatemala,santa rosa,Juan Luis Alvarado Romero,Bourbon,7.42,7.33,7.17,7.67,7.33,7.42,10,10,10,81.67
874,Honduras,marcala,CADEXSA,Catuai,7.58,7.5,7.33,7.33,7.42,7.25,10,10,10,81.67
875,"Tanzania, United Republic Of",mbinga,Taylor Winch (Coffee) Ltd.,,7.17,7.33,7.33,7.42,7.5,7.33,10,10,10,81.67
876,Nicaragua,jinotega,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",,7.58,7.5,7.25,7.25,7.5,7.25,10,10,10,81.67
877,Colombia,la plata,Racafe & Cia S.C.A,,7.75,7.75,7.75,7.67,5.25,7.83,10,10,10,81.67
878,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.25,7.75,6.92,7.42,7.5,7.58,10,10,10,81.67
879,"Tanzania, United Republic Of",mbinga,DAE Ltd Company,Other,7.42,7.33,7.25,7.42,7.5,7.42,10,10,10,81.67
880,"Tanzania, United Republic Of","ilomba vilage, mbozi",Tembo Coffee Company Ltd,Other,7.33,7.33,7.5,7.25,7.42,7.33,10,10,10,81.67
881,Brazil,south of minas,Ipanema Coffees,Bourbon,7.25,7.42,7.25,7.5,7.5,7.42,10,10,10,81.67
882,Indonesia,bener meriah,Chris Finch,Sumatra,7.17,7.42,7.33,7.42,7.33,7.42,10,10,10,81.67
883,Honduras,comayagua,,Caturra,7.5,7.33,7.5,7.5,7.17,7.17,10,10,10,81.67
884,Costa Rica,tarrazu,"CECA, S.A.",Caturra,7.5,7.17,7.17,7.17,7.5,7.08,10,10,10,81.67
885,Mexico,veracruz,Dane Loraas,,7.42,7.42,7.67,8,7.58,7.5,9.33,9.33,10,81.67
886,Taiwan,changhua baguashan 彰化市八卦山,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.5,7.5,7.5,7.25,7.42,7.25,10,10,10,81.67
887,Taiwan,nantou,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.58,7.42,7.33,7.42,7.33,7.33,10,10,10,81.67
888,Mexico,"la concordia, chiapas",FREDY GORDILLO REYES,Typica,7.5,7.42,7.08,7.58,7.33,7.33,10,10,10,81.67
889,Guatemala,jalapa,Juan Luis Alvarado Romero,Bourbon,7.5,7.67,7.33,7.33,7.33,7.33,10,10,10,81.67
890,Mexico,tuxtla gutierrez,VIRGINIA GORDILLO GORDILLO,Typica,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10,10,81.67
891,Mexico,yajalon,JOSE LUIS MUNOZ GUERRERO,Bourbon,7.67,7.25,7.17,7.75,7.5,7.25,10,10,10,81.67
892,Mexico,veracruz,CHRISTINA DUSING,Bourbon,7.5,7.42,7.33,7.42,7.42,7.42,10,10,10,81.67
893,Mexico,"la concordia, chiapas",ALFREDO BOJALIL,Bourbon,7.58,7.42,7.25,7.58,7.25,7.17,10,10,10,81.67
894,Mexico,"sacún palma, municipio de chilón, chiapas",MIGUEL CORTES MORENO,Caturra,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10,10,81.67
895,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.42,7.33,7.33,7.33,7.17,7.83,10,10,10,81.67
896,Honduras,western region,MDH,Catimor,7.5,7.42,7.08,7.42,7.5,7.33,10,10,10,81.58
897,Guatemala,huehuetenango,Juan Luis Alvarado Romero,Bourbon,7.42,7.42,7.08,7.5,7.42,7.33,10,10,10,81.58
898,Taiwan,natou county,"Lin, Che-Hao Krude 林哲豪",Typica,7.42,7.42,7.25,7.67,7.33,7.25,10,10,10,81.58
899,Costa Rica,turrialba,"CECA, S.A.",Caturra,7.58,7.42,7.5,7.17,7.08,7.58,10,10,10,81.58
900,"Tanzania, United Republic Of","oldeani , mongola",Acacia Hills Ltd,Other,7.42,7.42,7.33,7.42,7.42,7.33,10,10,10,81.58
901,Malawi,mzuzu,AFCA,Gesha,7.42,7.42,7.17,7.58,7.33,7.33,10,10,10,81.58
902,Taiwan,natou county,"Lin, Che-Hao Krude 林哲豪",Typica,7.33,7.17,7.08,7.08,8.33,8.25,10,10,9.33,81.58
903,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.42,7.42,7.33,7.33,7.5,7.25,10,10,10,81.58
904,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.42,7.33,7.17,7.58,7.42,7.5,10,10,10,81.58
905,Mexico,"la concordia, chiapas",FREDY GORDILLO REYES,Typica,7.67,7.5,7.42,7.5,6.75,7.42,10,10,10,81.58
906,Mexico,la concordia,Enrique Eduardo Lopez Aguilar,Marigojipe,7.33,7.5,7.25,7.5,7.5,7.17,10,10,10,81.58
907,Mexico,la concordia,Enrique Eduardo Lopez Aguilar,Typica,7.67,7.58,7.42,7.58,7.58,7.42,10,10,8.67,81.58
908,Thailand,"doi chaang village, chiang rai, thialand",Doi Chaang Coffee Company,,7.08,7.33,7.58,7.58,7.17,7.5,10,10,10,81.58
909,Thailand,,Doi Tung Development Project,,7.33,7.33,7.17,7.5,7.58,7.33,10,10,10,81.58
910,Costa Rica,tarrazu,Benjamin Schmerler,,7.25,7.17,7.33,7.33,7.5,7.75,10,10,10,81.58
911,Guatemala,santa rosa,Juan Luis Alvarado Romero,Bourbon,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10,10,81.5
912,Nicaragua,jalapa,"Exportadora Atlantic, S.A.",Caturra,7.5,7.42,7.33,7.33,7.25,7.33,10,10,10,81.5
913,Honduras,comayagua,Elsy Reyes,Caturra,7.5,7.5,7.33,7.42,7.17,7.25,10,10,10,81.5
914,Guatemala,santa rosa,Juan Luis Alvarado Romero,Bourbon,7.5,7.42,7.25,7.25,7.5,7.25,10,10,10,81.5
915,Taiwan,古坑鄉荷包村尖山坑60號,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.5,7.42,7.33,7.08,7.58,7.25,10,10,10,81.5
916,Myanmar,ywar ngan township,Genius Coffee,Catuai,7.25,7.42,7.25,7.5,7.33,7.33,10,10,10,81.5
917,Costa Rica,occidental,Santa Laura Exportadora de Cafe S.L.E.C. S.A.,Caturra,7.83,7.33,7.08,7.08,7.33,7.5,10,10,10,81.5
918,Malawi,mzuzu,AFCA,Gesha,7.67,7.42,6.92,7.5,7.5,7.17,10,10,10,81.5
919,Guatemala,oriente,Juan Luis Alvarado Romero,Other,7.5,7.42,7.17,7.58,7.25,7.42,10,10,10,81.5
920,Taiwan,natou county,"Lin, Che-Hao Krude 林哲豪
",Typica,7.42,7.33,7.67,7.33,7.42,7.5,10,10,9.33,81.5
921,Brazil,sul de minas,Jacques Pereira Carneiro,Yellow Bourbon,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,81.5
922,Haiti,"dondon, haiti",Myriam Kaplan-Pasternak,Blue Mountain,7.42,7.33,7.25,7.42,7.42,7.33,10,10,10,81.5
923,Taiwan,taichung xinshe 台中市新社區,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.5,7.42,7.25,7.25,7.33,7.33,10,10,10,81.5
924,Mexico,"la concordia, chiapas",ALFREDO BOJALIL,Typica,7.33,7.33,7.17,7.42,7.5,7.5,10,10,10,81.5
925,Mexico,amatenango de la frontera,ALFREDO BOJALIL,Typica,7.58,7.42,7.25,7.42,7.33,7.33,10,10,10,81.5
926,Mexico,temaxcalapa,JOSE LUIS MUNOZ GUERRERO,Catuai,7.42,7.25,7.17,7.42,7.17,8,10,10,10,81.5
927,Mexico,manzanillo,JOSE LUIS MUNOZ GUERRERO,Typica,7.33,7.5,7.33,7.33,7.33,7.42,10,10,10,81.5
928,Mexico,tapachula,TOMAS EDELMANN BLASS,Bourbon,7.42,7.42,7.33,7.17,7.25,7.42,10,10,10,81.5
929,Mexico,atoyac de alvarez,MARIA DE LA PAZ AGUILAR GUILLEN,Typica,7.5,7.5,7.25,7.5,7.42,7.58,9.33,10,10,81.5
930,Indonesia,ijen,Specialty Coffee Association of Indonesia,Other,7.75,7.17,7.17,7.33,7.58,7.33,10,10,10,81.5
931,Brazil,sul de minas,Jacques Pereira Carneiro,Bourbon,7.5,7.42,7.17,7.42,7.5,7.33,10,10,10,81.5
932,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.33,7.5,7.33,7.42,7.17,7.33,10,10,10,81.5
933,Colombia,cauca,Racafe & Cia S.C.A,,7.42,7.42,7.17,7.42,7.42,7.33,10,10,10,81.5
934,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,7.33,7.33,7.33,7.5,7.5,7.83,9.33,10,10,81.5
935,Mexico,veracruz,CAFES TOMARI SA DE CV,Mundo Novo,7.58,7.33,7.08,7.33,7.5,7.33,10,10,10,81.42
936,Guatemala,san marcos,Juan Luis Alvarado Romero,Catuai,7.42,7.33,7.08,7.58,7.33,7.25,10,10,10,81.42
937,Brazil,cerrado,Cafebras,Catuai,7.33,7.5,7.5,7.33,6.83,7.42,10,10,10,81.42
938,Honduras,marcala,CADEXSA,Catuai,7.5,7.33,7.17,7.25,7.5,7.42,10,10,10,81.42
939,Taiwan,苗栗三灣,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.83,7.75,7.42,7.17,7.08,7.08,10,10,10,81.42
940,Malawi,mzuzu,AFCA,Gesha,7.58,7.17,7.33,7.42,7.08,7.42,10,10,10,81.42
941,Brazil,south of minas,Ipanema Coffees,Bourbon,7.25,7.5,7.42,7.17,7.33,7.33,10,10,10,81.42
942,Guatemala,"san lucas toliman, solola",Juan Luis Alvarado Romero,Bourbon,7.42,7.5,7.17,7.42,7.42,7.42,10,10,10,81.42
943,Mexico,siltepec el triunfo,Kurt Kappeli,Typica,7.67,7.33,7.25,7.17,7.25,7.42,10,10,10,81.42
944,Peru,puno,Dane Loraas,,7.42,7.42,7.17,7.33,7.42,7.42,10,10,10,81.42
945,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.42,7.33,7.25,7.42,7.42,7.5,10,10,10,81.42
946,Mexico,"huazalingo, hidalgo",SAUL M. HERNANDEZ RAMIREZ,Caturra,7.42,7.33,7.25,7.17,7.25,7.42,10,10,10,81.42
947,Mexico,"coatepec, coatepec",GRUPO CAFETALERO LOS BRUJOS SPR DE RL,Typica,7.42,7.42,7.25,7.25,7.5,7.33,10,10,10,81.42
948,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.5,7.42,7.25,7.17,7.17,7.75,10,10,10,81.42
949,Colombia,cauca,Exportadora de Cafe Condor S.A,,7.75,7.33,7.42,7,7.33,7.25,10,10,10,81.42
950,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Peaberry,7.83,7,7,7.58,7.58,7.5,10,10,10,81.42
951,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.5,7.33,7.33,7.17,7.33,7.42,10,10,10,81.33
952,Honduras,comayagua,Bismarck Castro,Caturra,7.5,7.5,7,7.17,7.5,7.33,10,10,10,81.33
953,Mexico,veracruz,Angel Oscar Medina Rodriguez,,7.67,7.42,7,7.42,7.58,7.08,10,10,10,81.33
954,Brazil,cerrado,Cafebras,Catuai,7.25,7.33,7.33,7.33,7.33,7.42,10,10,10,81.33
955,Honduras,marcala,CADEXSA,Catuai,7.58,7.42,7.17,7.42,7.17,7.17,10,10,10,81.33
956,Brazil,mantiqueira de minas,Jacques Pereira Carneiro,Yellow Bourbon,7.17,7.33,7.42,7.25,7.42,7.33,10,10,10,81.33
957,Philippines,"davao city, region 11",Victoria,Other,7.08,7.33,7.42,7.33,7.33,7.5,10,10,10,81.33
958,Malawi,mzuzu,AFCA,Gesha,7.75,7.33,7.08,7.33,7.33,7.25,10,10,10,81.33
959,Honduras,san marcos,Mayra Yessenia Torres,Catuai,7.33,7.33,7.17,7.33,7.5,7.33,10,10,10,81.33
960,Mexico,tapachula,JULIO PEREZ HERNANDEZ,Typica,7.58,7.42,7.25,7.33,7.25,7.25,10,10,10,81.33
961,Mexico,veracruz,HECTOR GABRIEL BARREDA NADER,Typica,7.33,7.25,7.17,7.42,7.58,7.33,10,10,10,81.33
962,Brazil,matas de minas        ,KlemOrganics,Catuai,7.5,7.58,7.5,7.5,7.75,7.83,9.33,9.33,9.33,81.33
963,Taiwan,"dongshan dist., tainan city 台南市東山區","Lin, Che-Hao Krude 林哲豪",Typica,7.83,7.75,7.67,7.83,7.83,7.75,9.33,10,10,81.25
964,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.17,7.42,7.17,7.08,6.92,8.17,10,10,10,81.25
965,Nicaragua,jinotega,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Catuai,7.08,7.5,7.33,7.17,7.42,7.25,10,10,10,81.25
966,Honduras,marcala,CADEXSA,Catuai,7.42,7.17,7.17,7.5,7.33,7.25,10,10,10,81.25
967,Guatemala,huehuetenango,EssenceCoffee,Pacamara,7.33,7.42,7.17,7.25,7.42,7.33,10,10,10,81.25
968,"Tanzania, United Republic Of",karatu ngorogoro,Shangrilla Estate Ltd,Other,7.33,7.17,7.17,7.5,7.25,7.42,10,10,10,81.25
969,Taiwan,nantou,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.5,7.5,7.25,7.25,7.25,7.25,10,10,10,81.25
970,Guatemala,"sacatepequez, guatemala",Juan Luis Alvarado Romero,Caturra,7.5,7.33,7.5,7.58,7,7.25,10,10,10,81.25
971,Mexico,motozintla,ALFREDO BOJALIL,Typica,7.42,7.42,7.33,7.33,7.5,7.42,9.33,10,10,81.25
972,Nicaragua,"dipilto, nueva segovia","Exportadora Atlantic, S.A.",,7.33,7.5,7.17,7.17,7.58,7.17,10,10,10,81.17
973,"Tanzania, United Republic Of","ruvuma, mbinga",Immaculata John,Bourbon,7.67,7.17,7.17,7.33,7.5,7.17,10,10,10,81.17
974,Mexico,"chiapas, jaltenango",ANDREAS KUSSMAUL,Caturra,7.75,7.58,7.08,7.25,7.08,7.25,10,10,10,81.17
975,Costa Rica,tres rios,"CAFETALERA INTERNACIONAL CAFINTER, S.A.",Caturra,7.5,7.5,7.33,7.17,7.08,7.17,10,10,10,81.17
976,Honduras,central region,,Catuai,7.42,7.33,7,7.42,7.33,7.33,10,10,10,81.17
977,Thailand,chiangrai,松澤宏樹 Koju Matsuzawa,Caturra,6.83,7.42,7.42,7.17,7.5,7.42,10,10,10,81.17
978,Philippines,corillera administrative,Victoria,Typica,7.25,7.25,7.25,7.08,7.58,7.5,10,10,10,81.17
979,"Tanzania, United Republic Of",mbinga,Taylor Winch (T) Ltd,Bourbon,7.58,7.17,7.17,7.33,7.33,7.25,10,10,10,81.17
980,Malawi,southern- zomba,AFCA,Caturra,7.58,7.25,7.33,7.08,7.33,7.33,10,10,10,81.17
981,Costa Rica,central valley,Eric Thormaehlen,Catuai,7.33,7.08,7.33,7.25,7.33,7.58,10,10,10,81.17
982,Brazil,monte carmelo,BOURBON SPECIALTY COFFEES,Catuai,7.42,7.42,7.17,7.42,7.33,7.25,10,10,10,81.17
983,Mexico,tapachula,JULIO PEREZ HERNANDEZ,Typica,7.42,7.25,7.08,7.75,7.42,7.17,10,10,10,81.17
984,Guatemala,oriente,The Coffee Source Inc.,Caturra,7.42,7.25,7.33,7.25,7.25,7.42,10,10,10,81.17
985,Brazil,south of minas,NUCOFFEE,Mundo Novo,7.42,7.33,7.25,7.42,7.5,7.17,10,10,10,81.17
986,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,7.25,7.75,7.67,7.67,7.42,7.67,8.67,9.33,10,81.17
987,Ethiopia,sidamo,KERCHANSHE,,7.42,7.33,7.17,7.33,7.42,7.17,10,10,10,81.08
988,Brazil,alta paulista (sao paulo),Gregorio Sebba,Mundo Novo,7.58,7.42,7.5,7.25,7.75,7.58,9.33,10,9.33,81.08
989,Nicaragua,jinotega,Rolando Lacayo,Other,7.33,7.33,7.33,7.42,7.33,7.33,10,10,10,81.08
990,United States,central america,Wali Ali,Pache Comun,7.42,7.17,7.33,7.42,7.25,7.33,10,10,10,81.08
991,"Tanzania, United Republic Of","iwala village, mbeya rural",Taylor Winch (T) Ltd,Other,7.42,7.33,7.33,7.25,7.25,7.33,10,10,10,81.08
992,Costa Rica,naranjo,The Coffee Source Inc.,Caturra,7.42,7.25,7.17,7.25,7.25,7.58,10,10,10,81.08
993,United States (Puerto Rico),yauco region,German Negron,Other,7.67,7.75,7.67,7.58,7.58,7.67,6.67,10,10,81.08
994,Mexico,san fernando,OBED RENDON PONCE,Typica,7.25,7.42,7.33,7.33,7.17,7.33,10,10,10,81.08
995,Mexico,santo reyes nopala,DIEGO MANUEL WOOLRICH RAMIREZ,Typica,7.33,7.25,7.33,7.42,7.25,7.42,10,10,10,81.08
996,Mexico,santa maria sitepec,GERARDO HERNANDEZ VALDERRABANO,Typica,7.33,7.33,7.25,7.42,7.25,7.25,10,10,10,81.08
997,Mexico,talpa de allende,BALBINO RAMIREZ FLORES,Typica,7.42,7.33,7.25,7.42,7.17,7.25,10,10,10,81.08
998,United States (Hawaii),,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.42,7.42,7.25,7.58,6.92,7.17,10,10,10,81.08
999,Brazil,grama valley,BOURBON SPECIALTY COFFEES,Bourbon,7.25,7.25,7.17,7.5,7.33,7.17,10,10,10,81
1000,El Salvador,apaneca,Consejo Salvadoreño del Café,Bourbon,7.42,7.08,7.08,7.33,7.25,7.58,10,10,10,81
1001,Brazil,grama valley,BOURBON SPECIALTY COFFEES,Yellow Bourbon,7.33,7.17,7.17,7.67,7.33,7.17,10,10,10,81
1002,Guatemala,norte,Juan Luis Alvarado Romero,Bourbon,7.42,7.25,7.17,7.5,7.25,7.17,10,10,10,81
1003,Colombia,guayata,Racafe & Cia S.C.A,Caturra,7.67,7.5,7.42,5.25,7.67,7.75,10,10,10,81
1004,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.5,7.25,7,7.25,7.5,7.25,10,10,10,81
1005,Taiwan,"dongshan dist., tainan city 臺南市東山區","Lin, Che-Hao Krude 林哲豪",Typica,7.25,7.17,7.17,7.25,7.5,7.33,10,10,10,81
1006,Honduras,san marcos,Mayra Yessenia Torres,Caturra,7.42,7.25,7.25,7.33,7.25,7.17,10,10,10,81
1007,Brazil,cerrado,BOURBON SPECIALTY COFFEES,Mundo Novo,7.67,7.75,7.83,7.75,7.83,7.75,10,6.67,10,81
1008,"Tanzania, United Republic Of",arusha,Mlimani Ngarashi,Other,7.33,7.33,7.08,7.42,7.17,7.33,10,10,10,81
1009,Uganda,eastern,Kyagalanyi Ltd,SL14,7.33,6.92,7.17,7.33,7.42,7.42,10,10,10,81
1010,Taiwan,nantou,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.5,6.92,7.33,7.33,7.33,7.33,10,10,10,81
1011,Thailand,thailand,Doi Tung Development Project,,7.33,7.42,7.25,7.42,7.25,7.17,10,10,10,81
1012,Mexico,"motozintla, chiapas",ALEJANDRO GARCIA PALACIOS,Other,7.08,7.33,7.33,7.33,7.42,7.25,10,10,10,81
1013,Mexico,adolfo lopez mateos,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,7.58,7.67,7.5,7.67,7.58,7.5,8,10,10,81
1014,Taiwan,taiwan,CQI Taiwan ICP CQI台灣合作夥伴,Other,7.33,7.17,7.25,7.33,7.33,7.25,10,10,10,80.92
1015,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,9.33,80.92
1016,Kenya,kiambu,Lydiah Mwangi,SL28,7.17,7.58,7.5,7.5,8,7.75,10,10,10,80.92
1017,Mexico,veracruz,Grupo Santab S.A de C.V.,Bourbon,7.5,7.33,7.17,7.42,7.5,7.33,9.33,10,10,80.92
1018,Myanmar,pyinoolwin,Min Hlaing,Other,7.17,7.42,7,7.58,7.33,7,10,10,10,80.92
1019,United States (Hawaii),kona,Eileen Koyanagi,Hawaiian Kona,7.42,7.08,7.17,7.17,7.58,7.25,10,10,10,80.92
1020,"Tanzania, United Republic Of","manyara, karatu",Karatu Estate,Other,7.33,7.17,7.17,7.25,7.42,7.33,10,10,10,80.92
1021,Brazil,mantiqueira de minas,Jacques Pereira Carneiro,Yellow Bourbon,7.25,7.33,7.25,7.25,7.25,7.33,10,10,10,80.92
1022,Taiwan,台中新社,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.92,7.67,7.33,7.08,7.08,7.08,10,10,10,80.92
1023,Brazil,south of minas,Ipanema Coffees,Bourbon,7.17,7.42,7.17,7.25,7.25,7.33,10,10,10,80.92
1024,Nicaragua,matagalpa,Chris Finch,Caturra,7.33,7.08,7.25,7,7.5,7.42,10,10,10,80.92
1025,Guatemala,jalapa,Juan Luis Alvarado Romero,Pacas,7.58,7.42,6.92,7.5,7.25,7.17,10,10,10,80.92
1026,Taiwan,taichung taiping 台中市太平區,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,80.92
1027,Taiwan,nantou,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.25,7.17,7.08,7.08,7.08,8.08,10,10,10,80.92
1028,Taiwan,new taipei zhonghe 新北市中和區,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,80.92
1029,Mexico,ixhuatlan del cafe,EDUARDO LUIS AUGUSTO VELAZQUEZ SOLIS,Typica,7.58,7.33,7.08,7.5,7.17,7.25,10,10,10,80.92
1030,Thailand,,Doi Tung Development Project,Peaberry,7.67,7.58,7.33,7.33,7.17,7,10,10,10,80.92
1031,Laos,"paksong,laos",CQI Taiwan ICP CQI台灣合作夥伴,Catimor,7.42,7.33,7.17,7.17,7.17,7.25,10,10,10,80.83
1032,Guatemala,orient,The Coffee Source Inc.,Caturra,7.67,7.25,7.08,7.33,7.17,7.25,10,10,10,80.83
1033,Mexico,motozintla,LUIS ROBERTO FERMOSO BELTRAN,Catuai,7.17,7.08,7.25,7.42,7.25,7.33,10,10,10,80.83
1034,Mexico,oaxaca,JOSE MANUEL VERGARA CORTES,Typica,7.33,7.25,7.33,7.33,7.25,7.17,10,10,10,80.83
1035,Mexico,veracruz,CHRISTINA DUSING,Bourbon,7.5,7.17,7.33,7.25,7.17,7.17,10,10,10,80.83
1036,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.42,7.33,7,7.25,7.33,7.5,10,10,10,80.83
1037,Colombia,huila,Exportadora de Cafe Condor S.A,,7.33,7.33,7,6.83,7.33,7.67,10,10,10,80.83
1038,Brazil,monte carmelo,BOURBON SPECIALTY COFFEES,,7.17,7.25,7.08,7.17,7.25,7.58,10,10,10,80.75
1039,Myanmar,ywar ngan,U Soe,Catuai,6.92,7.5,7,7.58,7.5,7.08,10,10,10,80.75
1040,Guatemala,huehuetenango,Juan Luis Alvarado Romero,Caturra,7.5,7.33,7,7.42,7.17,7.17,10,10,10,80.75
1041,Nicaragua,jinotega,"COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Other,7.25,7.25,7.17,7.25,7.33,7.25,10,10,10,80.75
1042,Honduras,"siguatepeque, comayagua",Bismarck Castro,Caturra,7.5,7.33,7,7.42,7.25,7.17,10,10,10,80.75
1043,Panama,boquete,EssenceCoffee,Caturra,7.25,7.33,7.17,7.33,7.33,7.17,10,10,10,80.75
1044,Honduras,marcala,CADEXSA,Catuai,7.42,7.17,7.08,7.42,7.25,7.25,10,10,10,80.75
1045,Honduras,central region,,Catuai,7.25,7.33,7.08,7.5,7.25,7.33,10,10,10,80.75
1046,Costa Rica,san ramon,The Coffee Source Inc.,Caturra,7.33,7.33,7.25,7.25,7.17,7.17,10,10,10,80.75
1047,Mexico,oaxaca,DIEGO MANUEL WOOLRICH RAMIREZ,Typica,7.58,7.33,7.42,7.25,7.5,7.5,9.33,9.33,10,80.75
1048,Haiti,haiti,Myriam Kaplan-Pasternak,Typica,7.42,7,7.42,7.25,7.08,7.33,10,10,10,80.75
